long-tailed duck,maine,may 27
stork,michigan,october 07
albatross,kentucky,july 18
little grebe,kentucky,august 19
heron,kentucky,august 11
little grebe,maine,august 17
common teal,michigan,august 20
long-tailed duck,missouri,april 29
albatross,kansas,august 01
albatross,michigan,february 06
common teal,new york,july 01
vulture,kansas,july 20
little grebe,maine,may 27
little grebe,kentucky,august 24
long-tailed duck,missouri,august 01
flamingo,maine,july 24
common teal,missouri,april 02
little grebe,kansas,july 14
albatross,maine,june 21
heron,new york,june 30
albatross,kansas,may 03
shoebill,missouri,june 06
bald eagle,maine,june 24
common teal,new york,june 19
heron,kansas,may 19
albatross,maine,may 05
albatross,kansas,june 07
bald eagle,michigan,november 19
flamingo,maine,july 20
little grebe,kansas,june 07
common teal,michigan,october 09
stork,kansas,march 22
long-tailed duck,new york,october 12
flamingo,missouri,september 14
vulture,new york,june 12
heron,kentucky,july 07
flamingo,kansas,may 31
shoebill,kansas,june 11
bald eagle,missouri,august 29
long-tailed duck,maine,july 13
long-tailed duck,kansas,may 12
albatross,kansas,july 20
bald eagle,kentucky,july 21
long-tailed duck,kansas,november 12
little grebe,kentucky,august 19
flamingo,new york,september 24
heron,michigan,july 02
common teal,kentucky,june 17
shoebill,maine,august 22
flamingo,kentucky,may 23
flamingo,kansas,july 11
common teal,michigan,july 05
long-tailed duck,kansas,october 17
heron,kansas,august 19
vulture,missouri,july 19
bald eagle,kansas,november 11
flamingo,kansas,november 04
long-tailed duck,michigan,may 02
little grebe,new york,july 29
common teal,new york,july 07
vulture,michigan,october 20
vulture,new york,october 07
vulture,kansas,april 28
little grebe,missouri,august 01
albatross,new york,june 13
common teal,kansas,october 01
long-tailed duck,missouri,august 20
shoebill,new york,may 24
common teal,kentucky,july 18
vulture,kansas,september 25
long-tailed duck,missouri,august 01
common teal,maine,july 05
common teal,kentucky,september 23
vulture,maine,july 19
stork,missouri,may 10
little grebe,kentucky,may 26
long-tailed duck,kansas,september 10
common teal,michigan,june 16
shoebill,new york,june 12
little grebe,maine,june 10
flamingo,michigan,may 21
little grebe,missouri,august 09
vulture,michigan,august 20
shoebill,michigan,july 13
long-tailed duck,maine,september 19
little grebe,new york,july 19
vulture,new york,september 01
long-tailed duck,michigan,june 30
